EmployeeID,FirstName,LastName,Gender,Department,JobTitle,Salary,HireDate,PerformanceScore,ManagerID,Location,Email
42,Roy,Mills,Female,HR,HR Manager,112241.69,2013-12-05,Good,,San Francisco,roy.mills@example.com
43,William,Hunter,Male,Engineering,DevOps Engineer,135309.59,2023-07-20,Good,,Boston,william.hunter@example.com
44,Amber,Adams,Female,Engineering,QA Engineer,96697.83,2018-10-20,Good,,Austin,amber.adams@example.com
45,Erin,Dyer,Other,Finance,Payroll Specialist,71311.25,2011-04-02,Below Average,,Chicago,erin.dyer@example.com
46,Maurice,Greene,Male,Engineering,QA Engineer,126201.91,2014-11-26,Good,,Seattle,maurice.greene@example.com
47,James,Bell,Other,Engineering,DevOps Engineer,67669.09,2017-03-08,Good,,Seattle,james.bell@example.com
48,Connie,Perkins,Male,IT,Network Engineer,98903.25,2020-01-05,Excellent,,San Francisco,connie.perkins@example.com
49,Carrie,Baker,Female,HR,HR Coordinator,131695.55,2014-10-05,Below Average,,Seattle,carrie.baker@example.com
50,Michael,Burch,Female,Engineering,QA Engineer,88162.71,2016-07-21,Excellent,,Boston,michael.burch@example.com
51,Charles,Robinson,Female,Marketing,Content Strategist,142210.35,2011-11-08,Average,,New York,charles.robinson@example.com
52,Brandi,Palmer,Other,Finance,Accountant,114480.35,2020-05-15,Good,,Chicago,brandi.palmer@example.com
53,Nicole,Hampton,Female,HR,Recruiter,139890.34,2011-03-19,Average,,Seattle,nicole.hampton@example.com
54,Shelly,Martinez,Male,Engineering,DevOps Engineer,118687.08,2020-09-15,Poor,,San Francisco,shelly.martinez@example.com
55,Maria,Lewis,Female,Engineering,DevOps Engineer,130978.21,2010-12-03,Below Average,,Boston,maria.lewis@example.com
56,Judy,Kennedy,Female,Sales,Sales Representative,129082.98,2012-06-03,Poor,,New York,judy.kennedy@example.com
57,Ashley,West,Female,Finance,Financial Analyst,61838.36,2023-11-09,Good,,Austin,ashley.west@example.com
58,Shannon,Boyer,Other,Marketing,SEO Specialist,53005.85,2017-02-15,Average,,Austin,shannon.boyer@example.com
59,Kimberly,Brown,Female,Engineering,DevOps Engineer,140488.27,2014-01-06,Good,,New York,kimberly.brown@example.com
60,Justin,Hart,Female,Sales,Account Executive,124651.21,2018-02-12,Poor,,San Francisco,justin.hart@example.com
61,Melvin,Howard,Female,Sales,Sales Manager,133398.8,2021-12-10,Good,,Seattle,melvin.howard@example.com
62,Lacey,Shah,Female,Engineering,Data Engineer,53126.82,2021-08-10,Good,,Chicago,lacey.shah@example.com
63,Jamie,Holloway,Other,Finance,Payroll Specialist,56921.39,2012-04-30,Excellent,,Boston,jamie.holloway@example.com
64,Michael,Welch,Male,Finance,Payroll Specialist,143842.94,2018-03-27,Poor,,Austin,michael.welch@example.com
65,Margaret,Adkins,Male,Marketing,SEO Specialist,87161.93,2013-06-22,Average,,Seattle,margaret.adkins@example.com
66,Luis,Gonzalez,Female,Engineering,QA Engineer,147725.58,2013-01-16,Good,,Austin,luis.gonzalez@example.com
67,Lauren,Smith,Other,Finance,Payroll Specialist,52393.66,2014-05-13,Average,,New York,lauren.smith@example.com
68,Stephanie,Brennan,Other,IT,Network Engineer,101533.4,2014-12-05,Average,,Chicago,stephanie.brennan@example.com
69,Steven,Walls,Other,Sales,Sales Manager,59540.09,2014-04-15,Good,,Austin,steven.walls@example.com
70,Jonathan,Hernandez,Other,Finance,Accountant,67644.73,2012-12-06,Average,,Seattle,jonathan.hernandez@example.com
71,Randy,Bowers,Male,Sales,Sales Representative,57046.81,2020-09-10,Good,,Austin,randy.bowers@example.com
72,George,Cowan,Female,IT,Network Engineer,97911.83,2013-03-07,Average,,San Francisco,george.cowan@example.com
73,Rebecca,Cline,Female,IT,System Administrator,87198.24,2013-08-03,Below Average,,Seattle,rebecca.cline@example.com
74,Nancy,Vasquez,Male,Marketing,Content Strategist,129641.39,2014-03-27,Below Average,,Boston,nancy.vasquez@example.com
75,Gabriel,Johnson,Other,Marketing,Marketing Manager,60510.28,2011-07-05,Poor,,Seattle,gabriel.johnson@example.com
76,Kimberly,Miller,Male,Marketing,Content Strategist,62387.52,2011-02-15,Poor,,San Francisco,kimberly.miller@example.com
77,Mason,Wright,Other,Finance,Accountant,83851.26,2018-05-13,Poor,,Austin,mason.wright@example.com
78,Melissa,Johnson,Other,Marketing,SEO Specialist,85022.33,2016-01-11,Below Average,,Seattle,melissa.johnson@example.com
79,Sharon,Pierce,Female,Finance,Financial Analyst,86867.93,2019-06-23,Average,,New York,sharon.pierce@example.com
80,William,Andrews,Female,Sales,Account Executive,120269.21,2022-06-02,Below Average,,New York,william.andrews@example.com
81,John,Velazquez,Male,Marketing,Marketing Manager,110965.99,2010-06-03,Excellent,,San Francisco,john.velazquez@example.com
82,Dustin,Ali,Other,Finance,Financial Analyst,52529.92,2012-11-23,Poor,,New York,dustin.ali@example.com
83,Tammy,Maynard,Female,Engineering,Data Engineer,114888.31,2013-07-31,Good,,Seattle,tammy.maynard@example.com
84,Angela,Wallace,Female,HR,HR Coordinator,53077.66,2021-04-28,Good,,San Francisco,angela.wallace@example.com
85,Nicole,Li,Male,Marketing,Marketing Manager,102575.31,2022-03-31,Excellent,,Boston,nicole.li@example.com
86,Kaitlin,Kelley,Other,HR,HR Manager,129233.38,2021-07-27,Poor,,New York,kaitlin.kelley@example.com
87,Sara,Ramsey,Male,Finance,Accountant,83246.75,2022-09-25,Excellent,,Seattle,sara.ramsey@example.com
88,Cheryl,Wallace,Male,HR,HR Coordinator,96466.64,2014-05-24,Average,,Seattle,cheryl.wallace@example.com
89,Christopher,Horn,Male,Engineering,Data Engineer,133204.96,2017-11-08,Average,,Seattle,christopher.horn@example.com
90,Whitney,Owen,Male,HR,HR Manager,53033.61,2014-09-29,Excellent,,New York,whitney.owen@example.com
91,Christopher,Moran,Female,Sales,Account Executive,51351.07,2016-06-26,Excellent,,Seattle,christopher.moran@example.com
92,Mariah,Saunders,Male,Finance,Accountant,72586.69,2020-10-22,Excellent,,New York,mariah.saunders@example.com
93,Michael,Steele,Male,Marketing,SEO Specialist,64997.07,2020-10-09,Below Average,,New York,michael.steele@example.com
94,Karen,Graham,Male,Finance,Financial Analyst,118662.4,2014-08-06,Poor,,Austin,karen.graham@example.com
95,Megan,Davis,Male,IT,System Administrator,83677.77,2022-09-30,Below Average,,Boston,megan.davis@example.com
96,Kevin,Moran,Female,Marketing,SEO Specialist,106331.37,2015-07-12,Good,,New York,kevin.moran@example.com
97,Christian,Smith,Female,Sales,Account Executive,65289.47,2015-11-29,Average,,New York,christian.smith@example.com
98,Daniel,Jenkins,Male,Sales,Sales Representative,70445.93,2013-09-08,Excellent,,Boston,daniel.jenkins@example.com
99,Morgan,Lee,Male,IT,IT Support Specialist,52139.75,2010-12-02,Poor,,San Francisco,morgan.lee@example.com
100,David,Eaton,Male,Marketing,Content Strategist,99375.41,2012-10-30,Poor,,San Francisco,david.eaton@example.com
101,Mary,Ware,Female,Sales,Sales Manager,115113.49,2014-05-15,Below Average,48.0,San Francisco,mary.ware@example.com
102,Linda,Brooks,Female,Marketing,Content Strategist,110387.15,2023-09-03,Good,29.0,New York,linda.brooks@example.com
103,Keith,Rodriguez,Male,Finance,Accountant,132665.66,2014-05-24,Poor,40.0,Austin,keith.rodriguez@example.com
104,Katie,Rhodes,Female,Finance,Financial Analyst,102888.28,2016-07-25,Poor,89.0,Chicago,katie.rhodes@example.com
105,Kirk,Knight,Male,Engineering,DevOps Engineer,71964.33,2011-02-13,Below Average,93.0,Seattle,kirk.knight@example.com
106,Jacob,Rodriguez,Male,Finance,Financial Analyst,81951.99,2024-04-25,Good,26.0,San Francisco,jacob.rodriguez@example.com
107,Angelica,Moran,Female,Finance,Financial Analyst,129940.58,2020-05-21,Below Average,3.0,New York,angelica.moran@example.com
108,Charles,Benson,Female,Sales,Account Executive,61215.68,2018-03-20,Excellent,94.0,Seattle,charles.benson@example.com
109,Patricia,Henry,Female,Finance,Accountant,134719.34,2023-09-01,Below Average,40.0,Seattle,patricia.henry@example.com
110,Christopher,Jackson,Other,Sales,Sales Manager,140886.84,2016-08-27,Below Average,91.0,San Francisco,christopher.jackson@example.com
111,Gregory,Smith,Other,Engineering,DevOps Engineer,91566.65,2021-07-10,Good,96.0,Austin,gregory.smith@example.com
112,Christy,Serrano,Female,Engineering,Software Engineer,139157.86,2018-05-16,Good,11.0,Seattle,christy.serrano@example.com
113,Crystal,Campos,Male,Sales,Sales Representative,86601.21,2011-12-29,Below Average,30.0,Seattle,crystal.campos@example.com
114,Beth,Campbell,Other,Engineering,Data Engineer,141768.93,2021-11-16,Good,24.0,New York,beth.campbell@example.com
115,Helen,Adams,Other,Sales,Account Executive,58841.36,2017-05-18,Average,21.0,Boston,helen.adams@example.com
116,Jon,Hammond,Other,Marketing,SEO Specialist,67108.88,2013-08-09,Average,6.0,Boston,jon.hammond@example.com
117,Erika,Thomas,Male,Engineering,QA Engineer,146408.41,2022-10-16,Excellent,64.0,New York,erika.thomas@example.com
118,Scott,Smith,Male,Finance,Payroll Specialist,58310.49,2022-10-30,Poor,62.0,New York,scott.smith@example.com
119,Kara,Anderson,Male,IT,IT Support Specialist,68450.77,2018-07-20,Excellent,78.0,Chicago,kara.anderson@example.com
120,Sara,Jones,Male,HR,HR Coordinator,75619.6,2010-07-28,Average,77.0,Boston,sara.jones@example.com
121,Katie,Hancock,Male,Marketing,SEO Specialist,115218.08,2015-10-13,Below Average,46.0,New York,katie.hancock@example.com
122,Jeffrey,Nelson,Female,Finance,Accountant,74392.24,2018-06-13,Excellent,36.0,Austin,jeffrey.nelson@example.com
123,Kathleen,Johnson,Male,Marketing,Marketing Manager,93792.9,2017-06-17,Good,95.0,New York,kathleen.johnson@example.com
124,Eric,Miller,Female,Marketing,Content Strategist,83290.84,2024-05-02,Excellent,94.0,Austin,eric.miller@example.com
125,Debra,Bradley,Female,Marketing,Content Strategist,118103.07,2023-04-06,Average,68.0,Boston,debra.bradley@example.com
126,Anthony,Green,Female,Sales,Account Executive,127401.82,2019-06-27,Below Average,71.0,Chicago,anthony.green@example.com
127,Roy,Mooney,Male,Marketing,Content Strategist,132435.43,2021-02-05,Excellent,62.0,Boston,roy.mooney@example.com
128,Ricardo,Downs,Male,Sales,Sales Representative,112135.31,2010-07-07,Good,12.0,Seattle,ricardo.downs@example.com
129,Bryan,West,Female,Finance,Accountant,105709.97,2010-10-25,Good,51.0,Austin,bryan.west@example.com
130,Tristan,Brown,Male,Marketing,Marketing Manager,84446.77,2014-03-07,Excellent,33.0,New York,tristan.brown@example.com
131,Kyle,Williams,Other,HR,HR Manager,92734.1,2012-08-06,Average,19.0,Boston,kyle.williams@example.com
132,Michael,Wilson,Male,Marketing,Marketing Manager,96465.81,2016-09-29,Below Average,74.0,Boston,michael.wilson@example.com
133,Sherry,Flores,Male,Engineering,Software Engineer,98588.7,2014-06-15,Excellent,75.0,Chicago,sherry.flores@example.com
134,James,Smith,Other,Marketing,Content Strategist,80980.22,2017-02-22,Average,54.0,Seattle,james.smith@example.com
135,Susan,Haney,Female,IT,IT Support Specialist,60499.2,2014-03-23,Average,15.0,San Francisco,susan.haney@example.com
136,Dustin,Bryant,Female,IT,Network Engineer,64863.66,2011-05-29,Good,58.0,Seattle,dustin.bryant@example.com
137,Valerie,Vargas,Male,Marketing,Marketing Manager,67249.78,2018-08-13,Poor,92.0,New York,valerie.vargas@example.com
138,Sharon,Collins,Female,Engineering,Software Engineer,54418.72,2017-12-12,Average,28.0,San Francisco,sharon.collins@example.com
139,Alex,Johnson,Female,IT,IT Support Specialist,148716.74,2012-03-26,Good,81.0,Boston,alex.johnson@example.com
140,Richard,Duke,Female,Sales,Account Executive,85632.18,2019-12-06,Poor,15.0,Austin,richard.duke@example.com
141,Hannah,Johnson,Female,Sales,Sales Representative,98053.64,2020-11-30,Good,21.0,New York,hannah.johnson@example.com
142,Catherine,Houston,Male,Finance,Financial Analyst,112708.42,2015-11-24,Average,27.0,Chicago,catherine.houston@example.com
143,John,Walker,Female,IT,IT Support Specialist,87594.26,2012-07-08,Average,57.0,Chicago,john.walker@example.com
144,Matthew,Silva,Other,Marketing,Marketing Manager,60791.55,2016-02-10,Poor,12.0,Boston,matthew.silva@example.com
145,Reginald,Austin,Male,Engineering,QA Engineer,138560.41,2015-04-30,Excellent,34.0,San Francisco,reginald.austin@example.com
146,Elizabeth,Barnes,Male,IT,IT Support Specialist,139643.88,2022-08-16,Good,57.0,Seattle,elizabeth.barnes@example.com
147,Kenneth,Pollard,Other,IT,IT Support Specialist,110552.82,2016-05-23,Below Average,30.0,Austin,kenneth.pollard@example.com
148,Dustin,Vasquez,Female,Engineering,DevOps Engineer,108121.43,2013-06-15,Average,69.0,Chicago,dustin.vasquez@example.com
149,Jennifer,Ramirez,Female,Engineering,QA Engineer,69823.53,2011-04-17,Excellent,33.0,Seattle,jennifer.ramirez@example.com
150,Michele,Dixon,Other,Sales,Account Executive,104875.34,2015-08-24,Average,98.0,Chicago,michele.dixon@example.com
151,Julia,Fleming,Female,HR,HR Manager,128868.65,2021-01-23,Below Average,69.0,Seattle,julia.fleming@example.com
152,Jessica,Page,Female,Sales,Sales Manager,112626.55,2011-09-19,Average,48.0,Chicago,jessica.page@example.com
153,Jasmine,Garcia,Male,IT,Network Engineer,50354.69,2019-11-29,Below Average,24.0,Chicago,jasmine.garcia@example.com
154,Tanya,Levy,Male,Marketing,SEO Specialist,130959.52,2014-10-01,Below Average,30.0,New York,tanya.levy@example.com
155,Kathryn,Sanchez,Male,Engineering,Software Engineer,84275.23,2022-01-02,Good,85.0,Austin,kathryn.sanchez@example.com
156,Jessica,Oliver,Female,IT,IT Support Specialist,137163.25,2011-02-20,Below Average,48.0,New York,jessica.oliver@example.com
157,Douglas,Zuniga,Female,IT,Network Engineer,110766.04,2022-03-12,Good,24.0,Boston,douglas.zuniga@example.com
158,Justin,Fowler,Other,HR,HR Manager,94781.55,2011-03-17,Average,46.0,New York,justin.fowler@example.com
159,Lawrence,James,Female,Marketing,Marketing Manager,142673.92,2017-02-08,Good,61.0,Seattle,lawrence.james@example.com
160,James,Cobb,Female,Sales,Account Executive,81850.26,2018-04-09,Excellent,71.0,Seattle,james.cobb@example.com
161,John,Patel,Female,Finance,Payroll Specialist,59264.87,2010-07-01,Below Average,12.0,Seattle,john.patel@example.com
162,Brandy,Mccullough,Female,Marketing,Content Strategist,141214.1,2023-08-14,Poor,30.0,Seattle,brandy.mccullough@example.com
163,Russell,Jimenez,Male,Engineering,QA Engineer,67349.9,2013-03-28,Average,58.0,Boston,russell.jimenez@example.com
164,Stephanie,Fox,Female,IT,Network Engineer,51112.85,2022-06-17,Excellent,48.0,Boston,stephanie.fox@example.com
165,James,Patrick,Male,Finance,Accountant,131096.87,2023-09-27,Excellent,80.0,Austin,james.patrick@example.com
166,Olivia,Weaver,Other,Engineering,Data Engineer,117844.72,2017-07-24,Excellent,34.0,Boston,olivia.weaver@example.com
167,Michelle,Villa,Male,Sales,Account Executive,104196.5,2012-04-23,Below Average,27.0,San Francisco,michelle.villa@example.com
168,Kim,Avila,Female,Sales,Sales Manager,88642.4,2017-07-27,Good,3.0,San Francisco,kim.avila@example.com
169,Theresa,Nash,Female,Sales,Sales Representative,132637.9,2014-01-21,Excellent,37.0,Boston,theresa.nash@example.com
170,Angel,Allen,Male,IT,System Administrator,108985.76,2024-03-19,Good,5.0,Boston,angel.allen@example.com
171,Kevin,Kelly,Female,HR,Recruiter,110220.77,2012-02-12,Good,99.0,Chicago,kevin.kelly@example.com
172,Krista,Dunn,Male,Sales,Sales Manager,139123.01,2018-12-08,Excellent,7.0,Seattle,krista.dunn@example.com
173,Alyssa,Burton,Female,Sales,Account Executive,71785.12,2011-08-22,Below Average,5.0,Austin,alyssa.burton@example.com
174,Megan,Rangel,Male,HR,HR Manager,98543.0,2019-06-06,Good,98.0,Seattle,megan.rangel@example.com
175,Anne,Gonzalez,Other,IT,IT Support Specialist,55891.25,2017-04-24,Average,90.0,Boston,anne.gonzalez@example.com
176,Donna,Warren,Other,IT,IT Support Specialist,97786.5,2012-09-25,Poor,18.0,San Francisco,donna.warren@example.com
177,Cynthia,Harris,Male,Finance,Financial Analyst,75206.71,2010-07-20,Average,54.0,New York,cynthia.harris@example.com
178,Robert,Davis,Male,HR,Recruiter,96768.18,2018-04-26,Below Average,30.0,Seattle,robert.davis@example.com
179,Kevin,Taylor,Female,Marketing,SEO Specialist,134204.56,2019-08-26,Poor,13.0,Seattle,kevin.taylor@example.com
180,Dakota,Brown,Male,Finance,Accountant,75376.34,2013-06-25,Excellent,45.0,Boston,dakota.brown@example.com
181,Douglas,Steele,Male,Marketing,SEO Specialist,122000.96,2024-03-27,Average,36.0,San Francisco,douglas.steele@example.com
182,Cheryl,Hunt,Male,HR,Recruiter,51050.02,2014-09-09,Below Average,1.0,Seattle,cheryl.hunt@example.com
183,Carol,Sutton,Male,HR,HR Coordinator,135650.49,2015-02-23,Average,17.0,Boston,carol.sutton@example.com
184,Brian,Jimenez,Female,HR,HR Coordinator,113143.22,2016-01-02,Poor,36.0,Austin,brian.jimenez@example.com
185,Kayla,Blake,Other,Engineering,Software Engineer,110701.78,2014-02-11,Excellent,86.0,Seattle,kayla.blake@example.com
186,Micheal,Bell,Male,IT,Network Engineer,120509.27,2011-06-24,Excellent,8.0,Chicago,micheal.bell@example.com
187,Blake,Perkins,Female,Sales,Account Executive,123824.97,2018-08-17,Average,38.0,San Francisco,blake.perkins@example.com
188,Diana,Rodriguez,Other,HR,HR Coordinator,146464.57,2024-03-28,Excellent,60.0,Austin,diana.rodriguez@example.com
189,Jamie,Casey,Other,Sales,Sales Manager,117672.75,2019-05-17,Excellent,94.0,Seattle,jamie.casey@example.com
190,Rachel,Daniel,Other,IT,Network Engineer,126249.46,2022-03-05,Good,57.0,Boston,rachel.daniel@example.com
191,Steven,Hunter,Male,Marketing,Marketing Manager,139495.27,2014-04-14,Below Average,45.0,Boston,steven.hunter@example.com
192,Samuel,Carson,Other,Sales,Sales Representative,130257.33,2012-12-12,Below Average,19.0,San Francisco,samuel.carson@example.com
193,Renee,Jensen,Female,Marketing,SEO Specialist,126012.59,2012-02-10,Poor,56.0,Seattle,renee.jensen@example.com
194,Tracey,Johnson,Male,Marketing,Marketing Manager,55415.47,2013-08-24,Average,30.0,Boston,tracey.johnson@example.com
195,Shannon,Gonzalez,Other,HR,Recruiter,81822.4,2015-06-27,Good,92.0,Austin,shannon.gonzalez@example.com
196,Tyler,Holland,Other,Engineering,DevOps Engineer,131432.05,2023-09-22,Poor,85.0,Seattle,tyler.holland@example.com
197,James,Harris,Other,Sales,Sales Manager,98759.71,2011-10-19,Poor,70.0,Chicago,james.harris@example.com
198,Mariah,Evans,Other,IT,IT Support Specialist,89256.04,2018-06-09,Average,80.0,Boston,mariah.evans@example.com
199,Bryan,Barnes,Male,HR,HR Manager,107648.65,2021-06-26,Good,44.0,Boston,bryan.barnes@example.com
200,John,Stewart,Male,HR,Recruiter,146781.54,2014-07-25,Excellent,77.0,Seattle,john.stewart@example.com
201,Elizabeth,Werner,Other,IT,System Administrator,67204.14,2016-09-16,Good,80.0,Boston,elizabeth.werner@example.com
202,Debra,Armstrong,Female,HR,Recruiter,54437.78,2023-05-21,Below Average,40.0,Seattle,debra.armstrong@example.com
203,Lisa,Spencer,Other,IT,System Administrator,63221.91,2022-10-02,Average,88.0,San Francisco,lisa.spencer@example.com
204,Matthew,Murphy,Female,Engineering,Software Engineer,93613.53,2021-09-12,Below Average,39.0,Austin,matthew.murphy@example.com
205,Kelly,Martinez,Female,Engineering,DevOps Engineer,95393.32,2017-09-16,Good,20.0,Austin,kelly.martinez@example.com
206,Sandra,Walsh,Other,Sales,Account Executive,146069.91,2013-01-05,Poor,81.0,Austin,sandra.walsh@example.com
207,Erica,Ward,Female,Sales,Account Executive,125068.87,2020-10-10,Excellent,97.0,Austin,erica.ward@example.com
208,Jonathan,Davis,Male,IT,System Administrator,60914.15,2011-08-24,Excellent,44.0,Boston,jonathan.davis@example.com
209,Emma,Roberson,Male,HR,HR Coordinator,76612.57,2018-05-28,Good,71.0,Austin,emma.roberson@example.com
210,John,Vasquez,Female,Finance,Accountant,52390.39,2024-02-19,Below Average,93.0,New York,john.vasquez@example.com
211,Joseph,Bradshaw,Male,Finance,Payroll Specialist,62746.15,2022-04-20,Below Average,63.0,Boston,joseph.bradshaw@example.com
212,Dean,Howard,Other,Sales,Sales Representative,60405.47,2019-01-11,Average,3.0,Seattle,dean.howard@example.com
213,Joseph,Williams,Female,Engineering,Software Engineer,100036.25,2011-07-19,Good,45.0,Austin,joseph.williams@example.com
214,Kristine,Garcia,Male,HR,HR Manager,119937.17,2016-02-22,Average,26.0,Austin,kristine.garcia@example.com
215,Kendra,Garcia,Female,HR,Recruiter,103220.31,2022-07-07,Average,9.0,Boston,kendra.garcia@example.com
216,Angela,Nelson,Female,Marketing,SEO Specialist,130890.1,2019-10-15,Excellent,27.0,New York,angela.nelson@example.com
217,Alexander,Rodriguez,Other,Engineering,QA Engineer,106549.37,2020-06-01,Below Average,85.0,San Francisco,alexander.rodriguez@example.com
218,Kathryn,Schmidt,Other,Engineering,Data Engineer,142631.69,2014-01-05,Poor,27.0,Seattle,kathryn.schmidt@example.com
219,William,Ramirez,Male,Sales,Account Executive,115725.01,2019-06-18,Below Average,52.0,Boston,william.ramirez@example.com
220,Morgan,Ford,Male,Sales,Account Executive,142260.66,2010-12-13,Poor,90.0,New York,morgan.ford@example.com
221,Monica,Dougherty,Male,IT,Network Engineer,68147.94,2024-01-31,Good,32.0,San Francisco,monica.dougherty@example.com
222,Ann,Martinez,Female,Finance,Accountant,79014.33,2013-06-19,Average,84.0,Seattle,ann.martinez@example.com
223,Brett,Peterson,Female,Sales,Account Executive,78680.15,2015-04-30,Average,47.0,Seattle,brett.peterson@example.com
224,Stephen,Reyes,Other,IT,Network Engineer,99284.34,2020-10-10,Excellent,44.0,Boston,stephen.reyes@example.com
225,Tina,Allen,Male,Engineering,QA Engineer,129211.7,2022-08-02,Good,77.0,Austin,tina.allen@example.com
226,William,Fitzgerald,Other,Finance,Payroll Specialist,60441.0,2010-07-28,Below Average,16.0,Austin,william.fitzgerald@example.com
227,Kristi,Morales,Other,IT,IT Support Specialist,123023.62,2015-07-17,Poor,89.0,Boston,kristi.morales@example.com
228,Kari,Ortiz,Female,Marketing,SEO Specialist,75158.21,2024-04-24,Poor,60.0,Boston,kari.ortiz@example.com
229,Raymond,Vaughn,Female,Sales,Sales Representative,147909.69,2012-08-27,Average,7.0,Chicago,raymond.vaughn@example.com
230,Jeffrey,Brown,Other,Engineering,QA Engineer,60177.13,2014-10-18,Average,65.0,Boston,jeffrey.brown@example.com
231,Alex,Moore,Female,IT,System Administrator,64654.44,2016-01-22,Poor,75.0,San Francisco,alex.moore@example.com
